RH_ThHyg1_per100_avg_flag;flags for relative humidity (-);;;;;;;;
Pres_Logger1_hPa_avg;barometric pressure (hPa);;;;;;;;
Pres_Logger1_hPa_avg_flag;flags for barometric pressure (-);;;;;;;;
ServiceButton_Logger1_-_max;service inspections (1:yes/0:no) (-);;;;;;;;
ServiceButton_Logger1_-_max_flag;flags of service button;;;;;;;;
data-filled;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Comments:;;;;;;;;;
noValue ; NaN;;;;;;;;
Values of QC flags for meteorological ground measurements:;;;;;;;;;
1.00E+20;    missing value;;;;;;;;
1.00E+18; timeshift error;;;;;;;;
1.00E+16; below physical limit;;;;;;;;
1.00E+15; above physical limit;;;;;;;;
1.00E+12; unphysically high gradient (just for auxiliary parameters);;;;;;;;
1.00E+12; tracking/shading error (just for radiation parameters);;;;;;;;
1.00E+10; during cleaning;;;;;;;;
1.00E+08; redundancy;;;;;;;;
1.00E+07;	2 component test failed;;;;;;;;
1.00E+06;	3 component test failed;;;;;;;;
1.00E+05;	value corrected;;;;;;;;
1.00E+04;	above clear sky limit;;;;;;;;
1.00E+02;rare Observation;;;;;;;;
1.00E+00;	value classified as correct;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Values of QC flags for service button:;;;;;;;;;
1.00E+02;Insufficient cleaning;;;;;;;;
1.00E+01;Substandard cleaning;;;;;;;;
1.00E+00;Recent cleaning;;;;;;;;
